Food Item,Category,Compostability,Composting Method,Notes
Chapati,Bread/Baked,Green,Shred into small pieces,No oil or butter
Rice (Plain),Grain/Staple,Green,Moist composting,Mix with dry leaves
Dal (Lentil Curry),Curry/Gravy,Green,Add in small amounts,Avoid excess salt
Sambar,Curry/Gravy,Green,Moist composting,No tamarind or excess spice
Idli,Steamed Food,Green,Shred into small pieces,No chutney or sambar
Dosa,Bread/Baked,Brown,Shred before composting,No oil or butter
Paratha,Bread/Baked,Partial,Only if minimal oil,No ghee-stuffed parathas
Poori,Fried,Non-Compostable,Discard,Fried & oily
Bhaji (Vegetable Curry),Curry/Gravy,Green,Small amounts,No heavy spices
Paneer Butter Masala,Curry/Gravy,Partial,Only paneer pieces,No heavy butter
Chole (Chickpea Curry),Curry/Gravy,Green,Moist composting,Avoid excess masala
Rajma (Kidney Bean Curry),Curry/Gravy,Green,Small amounts,Avoid excess salt
Aloo Gobi (Potato Cauliflower),Curry/Gravy,Green,Compost vegetables,No oil
Baingan Bharta (Mashed Eggplant),Curry/Gravy,Green,Chop before composting,Avoid oil
Dhokla,Steamed Food,Green,Shred into small pieces,No chutney or oil
Thepla,Bread/Baked,Brown,Shred before composting,Minimal oil use
Halwa (Semolina Pudding),Dessert,Non-Compostable,Discard,Sugar & ghee
Gulab Jamun,Dessert,Non-Compostable,Discard,Fried & sugary
Jalebi,Dessert,Non-Compostable,Discard,Fried & sugary
Kheer (Rice Pudding),Dessert,Partial,Only rice grains,No milk
Curd/Dahi,Dairy,Non-Compostable,Discard,Attracts pests
Milk,Dairy,Non-Compostable,Discard,Turns rancid
Paneer (Cottage Cheese),Dairy,Non-Compostable,Discard,Does not decompose well
Buttermilk,Dairy,Non-Compostable,Discard,May attract insects
Egg Bhurji (Scrambled Eggs),Egg,Partial,Compost in moderation,Avoid oil
Omelette (Egg),Egg,Partial,Only plain egg parts,Avoid cheese & spices
Boiled Egg,Egg,Partial,Crushed eggshells only,Protein content slows composting
Chicken Curry,Meat,Non-Compostable,Discard,Meat attracts rodents
Fish Fry,Meat,Non-Compostable,Discard,Fish smells & attracts pests
Mutton Biryani,Rice Dish,Non-Compostable,Discard,Too oily & spiced
Vegetable Biryani,Rice Dish,Green,Small portions,Avoid excess oil
Khichdi,Rice Dish,Green,Moist composting,Good balance of nitrogen
Lassi,Beverage,Non-Compostable,Discard,Dairy product
Tea Leaves,Beverage,Green,Add directly,Boosts nitrogen in compost
Coffee Grounds,Beverage,Green,Add directly,Good composting agent
Sugar,Dry Ingredient,Non-Compostable,Discard,Slows down composting
Salt,Dry Ingredient,Non-Compostable,Discard,Harms compost microbes
Pepper,Dry Ingredient,Partial,Use in small amounts,Too much may disrupt compost balance
Turmeric,Dry Ingredient,Partial,Small amounts,Too much can alter compost acidity
Coriander Powder,Dry Ingredient,Green,Add in small amounts,Acts as a mild compost activator
Chili Powder,Dry Ingredient,Non-Compostable,Discard,Can harm compost microbes
Onion,Vegetable,Green,Chop & compost,Avoid large pieces
Garlic,Vegetable,Green,Chop before composting,Avoid in excess
Tomato,Vegetable,Green,Compost as-is,High water content
Chapati,Bread/Baked,Green,Shred into small pieces,No oil or butter
Rice,Grain,Green,Compost as is,No oil or butter
Dal,Lentils,Green,Compost as is,No oil or butter
Samosa,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Pani Puri,Street Food,Green,Compost as is,No oil or butter
Biryani,Rice Dish,Green,Compost as is,No oil or butter
Poha,Breakfast Dish,Green,Compost as is,No oil or butter
Dhokla,Steamed Snack,Green,Compost as is,No oil or butter
Idli,Steamed Dish,Green,Compost as is,No oil or butter
Dosa,Pancake,Green,Compost as is,No oil or butter
Vada,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Kheer,Dessert,Green,Compost as is,No oil or butter
Gulab Jamun,Dessert,Green,Compost as is,No oil or butter
Jalebi,Dessert,Green,Compost as is,No oil or butter
Rasgulla,Dessert,Green,Compost as is,No oil or butter
Lassi,Beverage,Green,Compost as is,No oil or butter
Chai,Beverage,Green,Compost as is,No oil or butter
Naan,Bread/Baked,Green,Shred into small pieces,No oil or butter
Paratha,Bread/Baked,Green,Shred into small pieces,No oil or butter
Roti,Bread/Baked,Green,Shred into small pieces,No oil or butter
Puri,Fried Bread,Brown,Remove any plastic wrapping,Contains oil
Bhaji,Vegetable Dish,Green,Compost as is,No oil or butter
Pav Bhaji,Street Food,Green,Compost as is,No oil or butter
Chole Bhature,Street Food,Green,Compost as is,No oil or butter
Rajma,Lentils,Green,Compost as is,No oil or butter
Kadhi,Curry,Green,Compost as is,No oil or butter
Aloo Gobi,Vegetable Dish,Green,Compost as is,No oil or butter
Palak Paneer,Vegetable Dish,Green,Compost as is,No oil or butter
Butter Chicken,Non-Veg,Brown,Remove any plastic wrapping,Contains oil
Tandoori Chicken,Non-Veg,Brown,Remove any plastic wrapping,Contains oil
Fish Curry,Non-Veg,Brown,Remove any plastic wrapping,Contains oil
Egg Curry,Non-Veg,Brown,Remove any plastic wrapping,Contains oil
Paneer Tikka,Appetizer,Green,Compost as is,No oil or butter
Chicken Tikka,Appetizer,Brown,Remove any plastic wrapping,Contains oil
Vegetable Pulao,Rice Dish,Green,Compost as is,No oil or butter
Jeera Rice,Rice Dish,Green,Compost as is,No oil or butter
Kadai Paneer,Vegetable Dish,Green,Compost as is,No oil or butter
Malai Kofta,Vegetable Dish,Green,Compost as is,No oil or butter
Aloo Paratha,Bread/Baked,Green,Shred into small pieces,No oil or butter
Methi Paratha,Bread/Baked,Green,Shred into small pieces,No oil or butter
Gobi Paratha,Bread/Baked,Green,Shred into small pieces,No oil or butter
Paneer Paratha,Bread/Baked,Green,Shred into small pieces,No oil or butter
Masala Dosa,Pancake,Green,Compost as is,No oil or butter
Rava Dosa,Pancake,Green,Compost as is,No oil or butter
Onion Uttapam,Pancake,Green,Compost as is,No oil or butter
Tomato Uttapam,Pancake,Green,Compost as is,No oil or butter
Mysore Bonda,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Medu Vada,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Aloo Tikki,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Paniyaram,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Kachori,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Mirchi Bajji,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Bread Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Corn Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Paneer Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
